"guid","fid","name","cr","size","type","tags","section","alignment","environment","ac","hp","init","lair?","legendary?","unique?","sources"
"8858bfe7-3e4f-4614-9f37-4411493b22cf","5ef.aaztar-ghola","Aaztar-Ghola","4","Medium","Humanoid","","","chaotic evil","","13","38","0","","","","Fifth Edition Foes: 5"
"e481ef5e-679d-4afe-b21e-7b31b6a1b6a6","5ef.adherer","Adherer","2","Medium","Aberration","","","lawful evil","forest, underground","13","45","1","","","","Fifth Edition Foes: 6"
"29aa7820-a973-45ea-9d2c-221d98519c0b","5ef.adult-leucrotta","Adult Leucrotta","2","Large","Monstrosity","","","chaotic evil","forest","14","39","2","","","","Fifth Edition Foes: 164"
"34aa1e77-a133-4bfa-a01d-b364fa9cd3b3","5ef.aerial-servant","Aerial Servant","9","Medium","Fiend","","","neutral","","18","152","4","","","","Fifth Edition Foes: 7"
"eeec8e91-0b42-4231-a782-a9ac8d1baa31","5ef.algoid","Algoid","3","Medium","Plant","","","neutral","swamp","14","52","0","","","","Fifth Edition Foes: 8"
"fb39c66d-2d1b-465c-b790-250b7236a06b","5ef.ant-lion","Ant Lion","4","Large","Beast","","","unaligned","desert","15","93","0","","","","Fifth Edition Foes: 11"
"0c83f120-fc3b-416d-a660-3eec3a09cbc9","5ef.arcanoplasm","Arcanoplasm","4","Large","Monstrosity","","","neutral","underground","12","103","-2","","","","Fifth Edition Foes: 14"
"9c48d00c-7ef1-4779-b733-b64becac876c","5ef.arenea","Aranea","3","Large","Monstrosity","","","chaotic evil","cave, dungeon, forest","14","39","3","","","","Fifth Edition Foes: 13"
"fc957e94-6739-4aa8-a58e-946e96c924d6","5ef.artificer-of-yothri","Artificer of Yothri","5","Medium","Aberration","","","chaotic evil","","16","66","2","","","","Fifth Edition Foes: 15"
"24f44c14-a6b4-48e0-a985-52bcd71c867b","5ef.ascomoid","Ascomoid","3","Large","Plant","Fungoid","","unaligned","underground","12","76","1","","","","Fifth Edition Foes: 16"
"3889f8b7-6727-4edd-9694-27dfd206b541","5ef.assassin-bug","Assassin Bug","5","Medium","Beast","","","unaligned","forest","16","120","3","","","","Fifth Edition Foes: 17"
"547e770c-ae8c-48fe-84b4-5e4dd901fdde","5ef.astral-moth","Astral Moth","1/8","Large","Monstrosity","","","neutral","forest","12","32","2","","","","Fifth Edition Foes: 18"
"98a090a3-c223-4d46-944a-0c03fb1d7fa9","5ef.astral-shark","Astral Shark","5","Large","Fiend","","","neutral","planar","14","102","2","","","","Fifth Edition Foes: 19"
"aa4af6ea-b5d7-454f-b149-7eb71ecea5f8","5ef.aurumvorax-golden-gorger","Aurumvorax (Golden Gorger)","5","Small","Monstrosity","","","unaligned","forest, grassland","16","78","5","","","","Fifth Edition Foes: 20"
"c3a84c7f-8036-4b60-81af-8be8a4b721f4","5ef.biclops","Biclops","6","Huge","Giant","","","neutral","mountain","13","115","1","","","","Fifth Edition Foes: 26"
"3460ab4e-0c73-46da-8264-c3cd738098ca","5ef.blood-hawk","Blood Hawk","1/4","Small","Monstrosity","","","unaligned","forest, grassland, mountain","13","5","3","","","","Fifth Edition Foes: 27"
