"type","name","short name","link","default selected?"
"Official Web Supplement","Basic Rules v1","Basic","",""
"Official Adventure","Curse of Strahd","Strahd","",""
"Official Adventure","Hoard of the Dragon Queen","Hoard","",""
"Official Web Supplement","HotDQ supplement","HoardSup","",""
"Official","Monster Manual","MM","","yes"
"Official","Mordenkainen's Tome of Foes","Mord'sToF","",""
"Official Adventure","Out of the Abyss","Abyss","",""
"Official","Player's Handbook","PHB","","yes"
"Official Adventure","Princes of the Apocalypse","Apoc","",""
"Official Web Supplement","Princes of the Apocalypse Online Supplement v1.0","ApocSup","",""
"Official Adventure","Rise of Tiamat","Tiamat","",""
"Official Adventure","Storm King's Thunder","StrmKing","",""
"Official Adventure","Tales from the Yawning Portal","TftYP","",""
"Official Web Supplement","The Tortle Package","Tortle","http://www.dmsguild.com/product/221716/Tortle-Package-5e",""
"Official Adventure","Tomb of Annihilation","ToA","",""
"Official","Volo's Guide to Monsters","Volo","",""
